slug,country,courses,ug,pg,flags,impressions_90d,clicks_90d,last_data_date
manipal-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
bits-pilani-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
canadian-university-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
american-university-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
amity-university-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
sp-jain-dubai,UAE,0,0,0,"NO COURSE DATA",0,0,
technical-university-of-denmark,Denmark,0,0,0,"NO COURSE DATA",2,0,
university-of-copenhagen,Denmark,136,18,118,"",2,0,2026-07-01
aarhus-university,Denmark,0,0,0,"NO COURSE DATA",0,0,
copenhagen-business-school,Denmark,0,0,0,"NO COURSE DATA",3,0,
aalborg-university,Denmark,0,0,0,"NO COURSE DATA",0,0,
university-of-southern-denmark,Denmark,0,0,0,"NO COURSE DATA",1,0,
it-university-of-copenhagen,Denmark,0,0,0,"NO COURSE DATA",0,0,
roskilde-university,Denmark,0,0,0,"NO COURSE DATA",0,0,
via-university-college,Denmark,0,0,0,"NO COURSE DATA",0,0,
ucn-university-college,Denmark,0,0,0,"NO COURSE DATA",0,0,
business-academy-aarhus,Denmark,0,0,0,"NO COURSE DATA",0,0,
iba-kolding,Denmark,0,0,0,"NO COURSE DATA",0,0,
zealand-business-technology,Denmark,0,0,0,"NO COURSE DATA",0,0,
ea-business-academy,Denmark,0,0,0,"NO COURSE DATA",0,0,
dania-academy,Denmark,0,0,0,"NO COURSE DATA",0,0,
politecnico-di-milano,Italy,0,0,0,"NO COURSE DATA",4,0,
politecnico-di-torino,Italy,0,0,0,"NO COURSE DATA",1,0,
university-of-bologna,Italy,0,0,0,"NO COURSE DATA",0,0,
sapienza-university-rome,Italy,0,0,0,"NO COURSE DATA",0,0,
bocconi-university,Italy,22,8,14,"",1,0,2026-07-01
university-of-milan,Italy,0,0,0,"NO COURSE DATA",0,0,
university-of-padua,Italy,0,0,0,"NO COURSE DATA",1,0,
university-of-naples,Italy,0,0,0,"NO COURSE DATA",1,0,
ca-foscari-university-venice,Italy,0,0,0,"NO COURSE DATA",0,0,
university-of-florence,Italy,0,0,0,"NO COURSE DATA",0,0,
university-of-trento,Italy,0,0,0,"NO COURSE DATA",2,0,
luiss-university,Italy,0,0,0,"NO COURSE DATA",1,0,
university-of-pisa,Italy,0,0,0,"NO COURSE DATA",0,0,
university-of-turin,Italy,0,0,0,"NO COURSE DATA",0,0,
universita-cattolica,Italy,0,0,0,"NO COURSE DATA",0,0,
university-of-barcelona,Spain,0,0,0,"NO COURSE DATA",0,0,
autonomous-university-of-barcelona,Spain,0,0,0,"NO COURSE DATA",0,0,
ie-university,Spain,0,0,0,"NO COURSE DATA",0,0,
iese-business-school,Spain,0,0,0,"NO COURSE DATA",0,0,
carlos-iii-university-madrid,Spain,0,0,0,"NO COURSE DATA",0,0,
complutense-university-madrid,Spain,0,0,0,"NO COURSE DATA",0,0,
pompeu-fabra-university,Spain,0,0,0,"NO COURSE DATA",0,0,
autonomous-university-of-madrid,Spain,0,0,0,"NO COURSE DATA",0,0,
esade-business-school,Spain,0,0,0,"NO COURSE DATA",0,0,
university-of-navarra,Spain,0,0,0,"NO COURSE DATA",0,0,
university-of-valencia,Spain,0,0,0,"NO COURSE DATA",0,0,
eae-business-school,Spain,0,0,0,"NO COURSE DATA",0,0,
university-of-salamanca,Spain,0,0,0,"NO COURSE DATA",0,0,
university-of-granada,Spain,0,0,0,"NO COURSE DATA",0,0,
university-of-seville,Spain,0,0,0,"NO COURSE DATA",0,0,
university-of-wollongong,Australia,205,108,97,"",0,0,2026-08-22
university-of-helsinki,Finland,112,5,107,"",0,0,2026-07-01
london-south-bank-university,UK,100,0,100,"PG ONLY",0,0,2026-08-25
leeds-beckett-university,UK,50,0,50,"PG ONLY",0,0,2026-08-25
liverpool-john-moores-university,UK,100,50,50,"",0,0,2026-08-25
sheffield-hallam-university,UK,50,0,50,"PG ONLY",0,0,2026-08-25
university-of-chester,UK,40,0,40,"PG ONLY",0,0,2026-07-04
