slug,country,courses,ug,pg,flags,impressions_90d,clicks_90d,last_data_date
columbia-college-bc,Canada,0,0,0,"NO COURSE DATA",0,0,
justice-institute-bc,Canada,0,0,0,"NO COURSE DATA",0,0,
fdu-vancouver,Canada,0,0,0,"NO COURSE DATA",1,0,
nyit-vancouver,Canada,0,0,0,"NO COURSE DATA",1,0,
norquest-college,Canada,0,0,0,"NO COURSE DATA",0,0,
red-deer-polytechnic,Canada,0,0,0,"NO COURSE DATA",0,0,
grande-prairie-regional-college,Canada,0,0,0,"NO COURSE DATA",0,0,
lakeland-college,Canada,0,0,0,"NO COURSE DATA",0,0,
medicine-hat-college,Canada,0,0,0,"NO COURSE DATA",0,0,
olds-college,Canada,0,0,0,"NO COURSE DATA",0,0,
portage-college,Canada,0,0,0,"NO COURSE DATA",0,0,
assiniboine-community-college,Canada,0,0,0,"NO COURSE DATA",0,0,
brandon-university,Canada,0,0,0,"NO COURSE DATA",0,0,
nova-scotia-community-college,Canada,0,0,0,"NO COURSE DATA",0,0,
first-nations-university,Canada,0,0,0,"NO COURSE DATA",0,0,
universite-de-moncton,Canada,0,0,0,"NO COURSE DATA",0,0,
mount-allison-university,Canada,0,0,0,"NO COURSE DATA",0,0,
st-thomas-university,Canada,0,0,0,"NO COURSE DATA",0,0,
nbcc,Canada,0,0,0,"NO COURSE DATA",1,0,
holland-college,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-alberta,Canada,0,0,0,"NO COURSE DATA",3,0,
university-of-calgary,Canada,97,0,97,"PG ONLY",12,0,2026-06-29
simon-fraser-university,Canada,139,139,0,"UG ONLY",18,0,2026-07-07
mcmaster-university,Canada,86,0,86,"PG ONLY",8,0,2026-08-25
queens-university,Canada,91,44,47,"",7,0,2026-06-30
western-university,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-victoria,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-manitoba,Canada,340,200,140,"",0,0,2026-07-07
university-of-saskatchewan,Canada,0,0,0,"NO COURSE DATA",0,0,
carleton-university,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-guelph,Canada,198,198,0,"UG ONLY",0,0,2026-09-14
concordia-university,Canada,0,0,0,"NO COURSE DATA",0,0,
mount-royal-university,Canada,0,0,0,"NO COURSE DATA",1,0,
vancouver-island-university,Canada,0,0,0,"NO COURSE DATA",0,0,
university-of-melbourne,Australia,463,38,425,"",9,0,2026-06-29
unsw-sydney,Australia,3,0,3,"PG ONLY; THIN (3)",0,0,2026-07-30
monash-university,Australia,0,0,0,"NO COURSE DATA",0,0,
uts-sydney,Australia,369,181,188,"",12,0,2026-08-17
charles-darwin-university,Australia,326,140,186,"",17,0,2026-08-24
swinburne-university,Australia,37,32,5,"",0,0,2026-08-25
kaplan-business-school,Australia,7,2,5,"THIN (7)",0,0,2026-08-24
victoria-university-sydney,Australia,342,140,202,"",4,0,2026-08-24
cquniversity,Australia,0,0,0,"NO COURSE DATA",0,0,
jcu-brisbane,Australia,0,0,0,"NO COURSE DATA",3,0,
murdoch-university,Australia,49,23,26,"",0,0,2026-08-24
flinders-university,Australia,338,135,203,"",7,0,2026-08-24
griffith-university,Australia,373,212,161,"",1,0,2026-07-07
la-trobe-university,Australia,0,0,0,"NO COURSE DATA",0,0,
technical-university-of-munich,Germany,193,51,142,"",0,0,2026-08-25
rwth-aachen-university,Germany,0,0,0,"NO COURSE DATA",0,0,
trinity-college-dublin,Ireland,465,117,348,"",0,0,2026-07-01
national-university-of-singapore,Singapore,0,0,0,"NO COURSE DATA",0,0,
nanyang-technological-university,Singapore,84,34,50,"",1,0,2026-06-30
university-of-auckland,New Zealand,527,337,190,"",0,0,2026-06-30
hec-paris,France,0,0,0,"NO COURSE DATA",0,0,
tu-delft,Netherlands,0,0,0,"NO COURSE DATA",4,0,
kings-college-london,UK,389,152,237,"",8,0,2026-06-30
london-school-of-economics,UK,0,0,0,"NO COURSE DATA",4,0,
university-of-bristol,UK,189,34,155,"",0,0,2026-08-25
university-of-warwick,UK,208,10,198,"",9,0,2026-08-25
